2002,Used,Ford,Taurus,SE Standard,Wagon,Red,7,263000,Automatic,Gasoline,1800,false,"Includes: Alloy wheels, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/2002-taurus-station-wagon-well-maintained-with-backup-radar/1428018271
1999,Used,Subaru,Legacy,B4 GT-B,Wagon,Silver,5,119000,Automatic,Gasoline,3000,false,"Includes: Bluetooth, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/jdm-1999-subaru-legacy-b4-gt-b/1427811992
1994,Used,Volvo,850,N/A,Wagon,Tan,0,234567,Automatic,Gasoline,750,false,"Includes: Sunroof, Alloy wheels, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/1994-volvo-850-wagon/1420685443
2005,Used,Subaru,Impreza,N/A,Wagon,Black,5,275000,Manual,Gasoline,2000,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/subaru-2005/1425150391
2013,Used,Volkswagen,Golf,N/A,Wagon,Black,0,79387,Automatic,N/A,107,true,"Includes: Alloy wheels, Bluetooth",https://www.kijiji.ca/v-cars-trucks/edmonton/2013-volkswagen-golf-tdi-only-107-b-w-1-000-down-4-99-term/1425075243
2001,Used,Subaru,Legacy,Loaded,Wagon,Burgundy,5,374000,Automatic,Gasoline,800,false,None,https://www.kijiji.ca/v-cars-trucks/edmonton/01-subaru-legacy-outback-awd-wagon-trades/1429583700
2012,Used,BMW,X1,N/A,Wagon,Silver,0,68370,Automatic,N/A,130,true,None,https://www.kijiji.ca/v-cars-trucks/edmonton/2012-bmw-x1-only-130-b-w-1-000-down-5-99-term-60/1429524792
2006,Used,Subaru,Forester,N/A,Wagon,Green,0,279363,Manual,Gasoline,2000,false,Includes: Air conditioning,https://www.kijiji.ca/v-cars-trucks/edmonton/subaru-forester-lowered/1428454503
2002,Used,BMW,3-Series,ix,Wagon,Silver,5,255000,Automatic,Gasoline,2250,false,"Includes: Sunroof, Alloy wheels, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/2002-bmw-325ix-wagon-awd/1426091004
2007,Used,Ford,Focus,ses,Wagon,Gold,5,307662,Automatic,N/A,2000,false,"Includes: Sunroof, Cruise control, Air conditioning",https://www.kijiji.ca/v-cars-trucks/edmonton/2007-ford-focus-ses-4-door-hatchback/1429093694
